Dataset for Test:car-s-91
Nodes:682	Edges29814
Connected Components:6

Subgraph 1
       Exam    Periods
202     246         13
203     462          5
204     404          2
205     430         19
206     424          4
207      82          9
208     422          8
209     464         26
210     459         21
211     451         25
212     304          1
213     318         25
214     389         28
215     373          0
216      26         29
217      60         26
218     126         18
219     367         20
220     211         29
221     359         27
222     390         22
223     391         10
224     452         12
225     505          3
226     488         16
227     402         27
228     475         16
229      65         15
230      76         17
231     433         12
232     439         30
233     434          9
234     493         14
235     576          5
236     438         17
237     521         27
238     159         28
239     538         11
240     494         19
241     461          0
242     283          7
243     501         23
244     317         27
245     478         13
246     450          8
247     282         19
248     243         25
249     463          7
250     503         12
251     281          4
252     519          8
253      68         16
254       9         28
255     320          0
256     254          7
257     358         22
258     504          2
259     499         23
260     376         16
261     508         25
262      67          5
263      18         17
264     178          1
265     426          7
266     171         21
267      74         11
268      64         22
269     112         21
270       5         14
271     165          3
272     319         12
273     600          9
274      73          1
275     662         15
276     400          0
277     190         17
278     510         12
279     232          9
280     191          6
281     183          2
282      93          2
283     449          1
284     489          7
285     472         18
286     388         12
287      41         23
288      47          3
289      96         17
290     385          1
291      86          3
292     185         18
293      81          0
294      44         23
295      53         26
296     561         14
297     564         13
298     468          9
299     552          3
300     660         20
301     565          2
302      39         10
303     379          6
304      24         18
305     377         19
306     192         25
307     187         22
308      23          6
309     219         13
310     221         25
311     539         19
312     427         16
313     271          3
314     204          0
315     511         11
316     303          8
317     374         17
318     386          8
319     448          1
320     571          4
321     188          3
322     381          4
323       7          7
324     477         11
325     307          5
326     284          1
327     512         13
328      63          3
329      98          9
330     135          5
331     122          2
332      71          8
333     383          3
334     473         21
335     480          2
336     208         24
337     471         26
338     476         10
339     479          1
340       8         10
341      38          0
342     256         24
343     109         11
344      28         12
345      83         17
346     306          3
347     315          9
348     273         24
349     279          2
350      62         14
351     309          5
352     470         20
353     467         15
354      66         13
355      99          8
356     316          2
357      54         24
358     110         15
359      85         15
360      80          7
361      79         13
362      84         21
363      34         10
364      29         18
365     195         10
366     203         11
367     378          2
368     182          8
369     325         18
370     314         11
371     311          0
372     312         17
373      12         23
374     274         20
375     278         10
376     277          9
377     305          8
378     137         17
379      87          8
380     545         11
381     242          2
382     251          7
383     268         12
384     502          7
385     125          1
386     124          9
387     206          5
388     263          9
389     568          0
390     196          0
391     102          4
392     170          0
393      61          5
394     435          3
395      14         19
396     577          5
397     310          1
398     214          8
399     287         14
400     289          6
401     523         13
402     293          3
403     541          7
404     573         19
405      31         11
406      78         18
407     380          5
408     114          3
409     324         23
410      89          1
411     149          3
412     176          9
413     264         10
414      11          0
415      77          6
416     231          1
417     233          3
418     229          8
419     180          0
420     638          8
421     294          5
422     328         20
423     326         15
424     323         13
425     327         10
426     297          2
427     667         11
428     664         12
429     604         10
430     474          4
431     469          9
432     275         20
433     575          1
434     524          2
435     525         14
436     177          4
437     267         15
438     384          4
439     104          3
440     423          9
441     189          7
442     546         16
443     343          1
444     572          4
445     120          0
446     113         10
447     382          0
448     529          6
449      97          2
450     537          3
451     540          7
452     330          4
453     266          5
454     296         20
455     179          5
456     425          6
457     220          2
458     363          5
459     285         11
460     286         14
461     605          3
462     569          4
463     584         12
464     611         14
465     621         16
466     198          4
467     642         17
468     639         19
469     586          7
470     673         13
471     276          1
472     665          3
473     620         15
474     641         20
475     663         11
476     119          5
477     121          2
478      35          1
479     587         16
480     518          2
481     666         10
482     574          0
483     669         18
484     555         12
485     344          3
486     543         11
487     101          3
488     209          0
489     588          7
490     288         16
491     291         12
492     322          1
493     245          1
494     292         12
495     290         15
496     215          3
497     640         15
498     636          7
499     670         15
500     625          9
501     624         10
502     626         16
503     257          3
504     585          6
505     646          8
506     668         17
507     194          0
508     298          1
509     123          4
510     579         11
511     147          7
512     117          2
513     252          9
514     321          6
515     387          6
516     544          1
517     578         14
518     594          6
519     674          5
520     128          7
521     247          0
522     542          3
523     637         10
524      88          1
525     111          2
526     580          4
527     675          1
528     207          8
529     230         10
530     342          6
531     108          2
532      13          1
533     136          2
534     116          2
535     255          0
536     280          3
537     481          3
538     597          1
539     133          1
540     348          2
541     341          9
542     583          8
543     582          9
544     622         14
545     526          0
546     643          3
547     216          1
548     197          0
549     138          0
550     143         11
551     139          2
552     603          0
553     250          4
554     581          0
555     130          5
556     142          2
557     269          2
558     258          0
559     671          4
560     619          6
561      30          2
562     570          4
563     589          2
564     261          3
565      10          4
566     248         12
567     553          5
568     672          5
569      32          3
570     590          9
571      36          1
572     554         13
573     347          1
574     527          0
575     534          7
576     234          6
577     259          6
578     200          5
579     329          0
580     618          2
581     100          0
582     644          0
583     623          1
584     346          7
585     129          0
586     131          3
587     558          6
588     295          6
589     557          0
590     548          6
591     262          7
592     602          2
593     235          0
594     556          8
595     148          1
596     653          2
597     222          1
598     260          2
599     612          5
600     244          0
601     249          0
602     610          6
603     645          3
604     533          4
605     607         11
606     547          3
607     549          0
608     592          4
609     681          6
610     647          4
611     678          7
612     651          1
613     648          5
614     677          9
615     650          8
616     649         11
617     679         10
618     632          4
619     635          2
620     633          5
621     628          6
622     629          7
623     627          8
624     634         11
625     630          9
626     617         10
627     652          9
628      91          4
629      90          1
630     127          1
631     199          2
632     132          4
633     606          1
634     530          1
635     532          5
636     615          0
637     614          4
638     682          3
639     345          3
640      15          1
641     141          5
642     145          1
643     536          5
644     144          3
645     596          0
646     272          0
647     186          0
648     616          3
649     631          0
650     551          4
651     531          0
652     593          3
653     595          1
654     591          5
655     535          3
656     201          0
657     528          2
658     676          0
659     680          1
660     140          0
661     550          1
662     613          1
663     146          2
664     442          0
665     598          2
666     608          0
667     609          0
668      37          0
669     331          0
670     333          1
671     332          2
672      16          0
673      92          0
674     441          0

      Exam    Periods
--  ------  ---------
 0      33          0

      Exam    Periods
--  ------  ---------
 0     349          0

      Exam    Periods
--  ------  ---------
 0     440          0

      Exam    Periods
--  ------  ---------
 0     656          0
 1     654          1
 2     655          1

      Exam    Periods
--  ------  ---------
 0     657          0

Total Colors used:31

Dataset for Test:car-f-92
Nodes:543	Edges20305
Connected Components:3

Subgraph 1
       Exam    Periods
---  ------  ---------
  0     291          0
  1     135          1
  2     382          2
  3     204          3
  4      71          4
  5     236          5
  6      49          6
  7     332          7
  8     304          8
  9     299          9
 10     302         10
 11     297         11
 12     306         12
 13     237         13
 14     156         14
 15      11         15
 16     456         16
 17     376         17
 18     133         18
 19      50         19
 20     353         20
 21     292         21
 22     521         14
 23     205          3
 24     256          1
 25     384          4
 26     330          7
 27     381         18
 28     377         15
 29      35         16
 30     242         20
 31     239         22
 32     238          8
 33     241         21
 34     296         23
 35     240         17
 36     305         12
 37       1         11
 38     258          1
 39     380         19
 40     164         23
 41     368         10
 42     524         24
 43     173         12
 44     419          6
 45     259         25
 46     422         22
 47     423         11
 48     271          2
 49      95         23
 50     128         11
 51     125         21
 52      93         24
 53     101         20
 54     103         16
 55      45         22
 56     356         17
 57      73          2
 58     418          9
 59      97         26
 60     331          7
 61     355         17
 62     119         25
 63     257         27
 64     263         28
 65     329          7
 66      98         20
 67     289          0
 68     260          1
 69     255          6
 70     102         24
 71      92         21
 72     290          0
 73     270         18
 74     134         28
 75     288          0
 76     452         25
 77      15         14
 78     106         12
 79     100          9
 80     146         25
 81     264         28
 82     110         19
 83     107         26
 84      96         19
 85     123          8
 86      37         29
 87     149         23
 88     520         26
 89     261          1
 90     386         13
 91      86         13
 92      14         15
 93     358         24
 94     136          5
 95     365         22
 96     152         27
 97     150          5
 98      13         10
 99      31         16
100     151          2
101     109          9
102     148         21
103      40          4
104      46         12
105      12         22
106      44          2
107      41         28
108      94         18
109      26         10
110      47         14
111      29         13
112      36         11
113     267         27
114     293         28
115     153         15
116     174         10
117     272         19
118     207         15
119     340         25
120      87          3
121      18         15
122      32         16
123     104          8
124     108         13
125     268         11
126      99         23
127     303          0
128     362          4
129     117         10
130     301         15
131     298         26
132     300         24
133     167         22
134       2          2
135     160          4
136     338          5
137     122         17
138     312         18
139     315         27
140     313         26
141     319         13
142     294         23
143     360         24
144     526         20
145     454         15
146     324         25
147     131          9
148     132          7
149     334          9
150     363          9
151     314          3
152     398         26
153     366         21
154     307         23
155     311         20
156     369         16
157     364         17
158     342         20
159     336         16
160      28         12
161      42         28
162     337         15
163     147         26
164     411          8
165     140         14
166      60          2
167     206         23
168     397         12
169     105          6
170     269          3
171      59         18
172      56         21
173     295         13
174     371          7
175     283          8
176     285          5
177      39         13
178       4          9
179     339         10
180     262         16
181     273         14
182      67          8
183     155          2
184     154         13
185     361         10
186     317          0
187     322         17
188     335         13
189      34         16
190     115         25
191     116         18
192      58         24
193     265          6
194     124          4
195     165         21
196     172          8
197     318          1
198     374         28
199     323          0
200     375          5
201     316          1
202      33         16
203     333         18
204     244         26
205     178         16
206     120          2
207     357         19
208      53          0
209     432         14
210     215         19
211     230         22
212     428         17
213     383          7
214     430         27
215     502         18
216     387          5
217     404         17
218     401         10
219     425          6
220      76         24
221     192         21
222     467          4
223       3         24
224     499         14
225     274         22
226     118         17
227     399         10
228     385          2
229     455         19
230     175         19
231     284          1
232       5          3
233       6          5
234     370         14
235     420          4
236     424          6
237     218          8
238      78         14
239      23          1
240     400         10
241      70          5
242     126          3
243     321          4
244     139         16
245     137         11
246     367         12
247     308         11
248     372          6
249     352         14
250      48         12
251      55         22
252       7         21
253     359          8
254      57         10
255      52          8
256     427          2
257     522          9
258      54         17
259      19          3
260     112         11
261      30         15
262      43          9
263      77          5
264     421         20
265     500         24
266     503         27
267     460         13
268      38         12
269     179          5
270     217         18
271     426         26
272     216         13
273     182          2
274     529         20
275     341          1
276      16          4
277     114          1
278     345          4
279     523         16
280     501          9
281      83         11
282      90          2
283     498          8
284      27          2
285     121          0
286      51         14
287     390         11
288     176          2
289     276         12
290     281          8
291     111         12
292      24          5
293     157         11
294      79          1
295     346         15
296     349         12
297     143         20
298     214          3
299     245          0
300     528         11
301     527          4
302     429          7
303     348          0
304     190          7
305     209          3
306     211         13
307     186          4
308     219         16
309     212         14
310     184         12
311     351          0
312     227          9
313     185         17
314     392          4
315     278         13
316       8         10
317     277          9
318     275          0
319     180          8
320     183          2
321     525          0
322     354          7
323     208         13
324     213          5
325     326         10
326     343          8
327     141          9
328     243          6
329     347          3
330     350         11
331     197          6
332     198          1
333     403         10
334     223          0
335     373          1
336     142         15
337     138         12
338      17          3
339     453         15
340      21          7
341      62          1
342      84         10
343     402          4
344      61          7
345      68          0
346     344         13
347      81          9
348     434          6
349     189          2
350     113          3
351     226         10
352     389          1
353     413          5
354      75          4
355     191          7
356     145          2
357     181          3
358     221          5
359     129          8
360     482          5
361     194          0
362      72          6
363     168         12
364      85          4
365     188         11
366     406          9
367     177          1
368     439          5
369      89          0
370     310          0
371     431          3
372     441          9
373     532         13
374     196          4
375     438          1
376     530         18
377     440         12
378      88          5
379     210          5
380     222          4
381     408          6
382     504          4
383     435          6
384     433          6
385       9          0
386     396          3
387     378         12
388     231          6
389     405          9
390     220          1
391     394          2
392     166          5
393     201          5
394     193         11
395     279          0
396     391          2
397     199          3
398     158          1
399     159          6
400     161          3
401     187         10
402     200         14
403      74          2
404     144          0
405     203          5
406     506          5
407     449          2
408     282          3
409      63          6
410     534          3
411     531          8
412     195          9
413      64          8
414     471          7
415     393          5
416     325          7
417     309          7
418     465          0
419     437         11
420     436          0
421     229          4
422     266          4
423     513          8
424     514          3
425     536         10
426     280          2
427     409          4
428     459          1
429      65          4
430     286          9
431     533          4
432     412          1
433      10          1
434      80          3
435     224          5
436     443          5
437     228          8
438     472          3
439     470         10
440     505          1
441     250          8
442     537          7
443     510         10
444     509          2
445     538         11
446     515          9
447     508          0
448     512         12
449     516          0
450      82          8
451     414          7
452     379          5
453     483          3
454     249          1
455     458          3
456     476          8
457     507         11
458     540          7
459     202          9
460     287          5
461      69          3
462     484          7
463     462          2
464     485          0
465     492          1
466     457          4
467     251          7
468     246          2
469     320          2
470     474          5
471     541          4
472     395          3
473     468          8
474     542          6
475     539         10
476     130          1
477     486          9
478     543         10
479     491          4
480     445          7
481     247          8
482     388          8
483     407          2
484     417          4
485      66          3
486     488         11
487     511          6
488     487          2
489     517          4
490     442          6
491     444          7
492     448          1
493     451          0
494     535          5
495     162          2
496     466          5
497     477          2
498     489          3
499     480          7
500     478          0
501     481          6
502      20          0
503      22          1
504     252          1
505     469          0
506     473          3
507     464          0
508     463          3
509     446          4
510     225          2
511     490          1
512     163          2
513     479          4
514     248          0
515     475          2
516     415          0
517     416          1
518     169          0
519     447          1
520     170          1
521     171          2
522      91          0
523     461          1
524     497          0
525     493          2
526     494          3
527     495          2
528      25          2
529     232          0
530     235          3
531     234          1
532     410          1
533     127          0
534     233          1
535     496          0
536     328          0
537     327          1
538     450          0
539     518          0

      Exam    Periods
--  ------  ---------
 0     253          0
 1     254          1

      Exam    Periods
--  ------  ---------
 0     519          0

Total Colors used:30

Dataset for Test:ear-f-83
Nodes:190	Edges4793
Connected Components:1

Subgraph 1
       Exam    Periods
---  ------  ---------
  0       9          0
  1       3          1
  2      11          2
  3     157          3
  4      87          4
  5      27          5
  6      62          6
  7     131          7
  8      24          8
  9       5          9
 10     147         10
 11      47         11
 12      45         12
 13     151         13
 14     180         14
 15      55         15
 16      59          6
 17     127         16
 18     142         17
 19      90         18
 20      64         19
 21     121          5
 22      13         10
 23     161         14
 24     124         11
 25       6         13
 26      12         12
 27     123         20
 28     139          9
 29      60         14
 30     120         20
 31     128         16
 32      35         15
 33      86          4
 34     137         15
 35      73          6
 36      83          4
 37      89         18
 38     185         12
 39      67         19
 40     143         17
 41      39         17
 42      14         10
 43     155          3
 44      26          7
 45      46         17
 46     126         16
 47      43         18
 48      81          4
 49      32         19
 50       8          0
 51     166         21
 52      23          8
 53      33         22
 54     130         21
 55     136          1
 56       1         22
 57      15         11
 58      57          8
 59     189         12
 60     141          6
 61     170         20
 62     145         10
 63      44         19
 64     173         14
 65      98          3
 66      20          8
 67      19          7
 68     150          5
 69      50         19
 70     176         16
 71      34         10
 72      68         21
 73      10          0
 74       4          1
 75     153          2
 76     177          3
 77     154          2
 78      72          5
 79      52         18
 80     117         20
 81     168          9
 82      38         12
 83     152         11
 84     144         15
 85      96          0
 86      75          3
 87       7         11
 88     146          9
 89      92          2
 90     148         13
 91     175         10
 92      74         12
 93      78          2
 94     165          3
 95     116         14
 96     182         16
 97      31         13
 98      48         15
 99      25          7
100      95          9
101      94          2
102      88          4
103     140         17
104     125         13
105     167         11
106      58         13
107     190         12
108      30          3
109      29         19
110     129          4
111      77         15
112     133         20
113     105         21
114     103          2
115      41          4
116      70          6
117     187          9
118     188          3
119     111          7
120     186         12
121     172          0
122      28          3
123     132          6
124     174          1
125     171         13
126      69          5
127      76          7
128     183          2
129     159         10
130     101         20
131     108          9
132     109          5
133     112          9
134     104          1
135     164         10
136      65         14
137      17          9
138      93          2
139      91          2
140     122          3
141      84          4
142      22          1
143      85          4
144     138          7
145     160          0
146     113          3
147     178          1
148      82          4
149     179          0
150      66         11
151      71          6
152     102         11
153     149          2
154     163          2
155      97          2
156      99          1
157      40          8
158      18          1
159     184          2
160      54          8
161     118          2
162      53          7
163      61          3
164     135          7
165      80          4
166      37          8
167      21          3
168      79          4
169     156          0
170     114          0
171     134          5
172      63          0
173      36          0
174      51          0
175       2          0
176      42          1
177     162          0
178     110          1
179     119          2
180      16          0
181     107          0
182     115          2
183     169          0
184      49          0
185     100          2
186     106          5
187     158          6
188     181          8
189      56          0

Total Colors used:23

Dataset for Test:hec-s-92
Nodes:81	Edges1363
Connected Components:1

Subgraph 1
      Exam    Periods
--  ------  ---------
 0      22          0
 1      21          1
 2      16          2
 3      19          3
 4      23          4
 5      27          5
 6      20          6
 7      30          7
 8      54          8
 9      24          9
10      26         10
11      34         11
12      28         12
13      33         13
14      25         10
15      17          8
16      14          2
17      55         13
18      49          3
19      32         11
20      31         14
21      15          9
22      29          0
23      74          4
24      12          7
25      66          7
26      79          8
27      80         10
28      73          1
29      77          0
30      78          3
31       8         13
32       2          0
33      13         11
34       4         12
35      10          5
36      11         14
37       1          2
38      57          5
39      70          6
40      69         14
41      36         12
42      40         15
43      56          9
44      46          7
45      37         16
46      51          2
47      68         17
48      50         10
49      38         18
50      44          1
51      39         11
52      41          5
53      71         15
54      47         18
55      63         13
56      35          0
57      48          4
58      45         11
59      53          4
60      58         16
61      59         18
62      64         10
63      60          8
64      52         11
65      18          8
66      72          9
67      42          2
68      67          4
69      62          3
70      61          2
71       6         10
72       3          4
73      76         12
74      75          6
75      65          4
76      81          2
77       7          3
78      43          1
79       5          3
80       9          1

Total Colors used:19

Dataset for Test:kfu-s-93
Nodes:461	Edges5893
Connected Components:21

Subgraph 1
       Exam    Periods
---  ------  ---------
  0     396          0
  1     212          1
  2     253          2
  3     395          3
  4     252          4
  5     435          5
  6     293          6
  7     172          7
  8     168          8
  9      39          9
 10      40         10
 11     318         11
 12     320         12
 13     257          4
 14     254          2
 15     251          2
 16     258          5
 17     250          2
 18     317         10
 19     292          6
 20     247          8
 21     414         13
 22     211          1
 23     210          1
 24     113         11
 25     112         12
 26     173         13
 27     171         14
 28     179          7
 29     174         12
 30     353          8
 31     461          9
 32     182         14
 33     177         15
 34     181         16
 35     296          6
 36     193         17
 37     295         11
 38     184          7
 39     180         13
 40     176         18
 41     255          4
 42     192         12
 43     394          0
 44     191          2
 45     189          3
 46     397          0
 47      41          9
 48     190          3
 49     393          0
 50     288         14
 51     316         15
 52     289          6
 53     111         12
 54     244         12
 55     321         13
 56     246         10
 57     327         14
 58     319         11
 59     322         12
 60     187          1
 61     399          0
 62     228          9
 63     325         10
 64     331         12
 65     341         13
 66     323         15
 67     328         16
 68     339         17
 69     326         10
 70     340          3
 71     324          5
 72     343         11
 73     334          4
 74     332          9
 75     333         15
 76     337         18
 77     338         11
 78     342          0
 79     335          0
 80     245          8
 81     398          0
 82     452          6
 83     336          1
 84     186          1
 85     144          6
 86     141          8
 87      89         13
 88      87         14
 89      88         15
 90     119         11
 91     121          6
 92      92         10
 93      93         16
 94      94         14
 95      97         15
 96      90         12
 97     103          1
 98     102         13
 99      98         17
100      91          9
101      96         17
102      86         13
103      85         15
104     104          3
105      99          9
106     100         10
107     101          5
108     243          9
109     297          5
110     413          7
111     431         11
112     185         10
113     302          1
114     432          9
115     294         14
116     434         11
117     441          7
118     442          9
119     436         11
120      84         13
121     222          7
122     120          8
123     124         10
124      46          5
125     437          0
126     125          0
127     433          6
128     259         10
129     265          7
130     268         10
131     145         14
132     142          5
133     264         15
134     267         13
135     150         11
136     269         15
137     263         14
138     260         15
139     262         16
140     261         17
141     274         12
142     140          5
143     151          3
144     272          7
145     152          8
146     147         16
147     148         17
148     146          7
149     266          6
150     256          2
151     153          4
152     270         10
153     149          5
154     277          3
155     276         13
156     271          0
157     275          8
158     273          1
159     415         10
160     227          8
161     117          7
162     115          5
163     127         12
164     123         13
165     116          4
166     128          6
167     118          3
168     224          7
169     278          5
170     223         10
171     354          5
172     392          0
173      44          5
174     315          3
175     238          5
176     183          9
177     248          2
178     114          4
179     188          5
180     290          6
181     352          1
182     291          7
183     164         11
184     365          9
185       1         12
186     430         13
187     385         14
188     366          9
189     387         14
190     386          6
191     377         11
192     357          5
193       2          7
194     165         11
195     214         10
196     382         11
197     379         15
198     378         13
199     166          3
200     380          6
201     167         12
202     360          1
203     383          4
204     361          8
205     388          2
206     143          3
207     218          7
208     359          9
209     358         10
210     215         10
211     217          4
212       8         12
213     367          2
214       3          6
215       5          7
216     370          2
217     371          4
218      29          7
219     445          3
220     300          3
221     303         11
222     301         12
223     299          7
224     298          6
225     305          1
226      28          5
227     402          3
228     446          8
229     400          5
230     401          9
231     444          1
232     229          9
233     438          5
234     448         10
235     451          3
236     391          0
237     239          8
238     404          5
239     405          1
240     406          6
241      27          8
242      31          3
243      43          7
244      42          2
245     356          0
246     368          1
247      51          3
248      58          6
249      56          2
250      49          9
251      30          6
252      33          9
253      26          8
254     175          4
255      23         10
256      24          2
257     225          6
258     226          7
259      21          4
260     287          4
261     439          4
262      57          1
263      32          1
264      34          2
265      59          3
266      52          9
267     453          2
268       7          0
269      48          7
270     230          0
271      54          8
272     416          3
273     449          5
274     249          1
275      19          2
276     447          1
277      55          0
278      60          0
279      45          8
280     231          1
281     418          3
282     286          4
283     440          5
284     207          1
285     209          5
286      25          0
287      47          1
288     407          2
289      18          3
290      17          0
291     450          0
292     241          0
293      20          1
294     304          0
295     201          0
296      13          0
297      10          2
298       9          3
299      11          4
300       4          0
301     195          2
302     200          1
303     421          5
304     420          1
305     422          4
306     419          6
307     202          3
308     198          3
309     423          0
310     424          2
311     126          0
312     417          0
313     154          1
314     194          4
315     156          0
316     199          5
317     457          0
318     454          2
319     240          2
320     242          3
321     344          0
322     455          3
323     458          4
324     460          2
325     459          0
326     158          2
327     157          3
328     155          4
329      53          0
330     206          1
331     208          2
332     197          2
333     347          1
334     346          2
335     306          1
336      69          2
337     107          2
338      66          3
339      71          0
340      61          4
341      64          0
342      65          3
343      63          1
344     203          1
345     350          3
346      12          0
347     196          0
348     372          2
349     390          3
350     170          0
351     363          1
352     364          4
353     384          2
354     220          5
355     221          0
356     219          4
357      14          3
358     389          1
359     169          5
360     373          2
361     362          3
362      15          1
363      74          1
364      67          0
365      73          3
366     307          0
367      68          1
368     108          0
369     106          3
370     105          1
371     283          0
372      35          0
373     133          0
374     129          1
375     137          2
376     213          1
377     281          2
378     279          3
379     282          0
380     284          1
381     159          3
382     280          1
383     409          0
384     403          2
385     134          2
386     136          1
387     132          3
388     374          0
389      79          2
390      78          3
391      77          0
392      76          3
393      81          1
394      82          0
395     375          0
396     376          2
397      80          1
398     309          1
399     308          2
400     348          1
401     425          0
402     427          1
403     426          2
404     130          0
405     131          0
406     311          2
407     349          1
408     408          2
409     410          1
410     428          0
411     429          3
412      62          2
413      72          2
414      83          2
415     109          1
416     135          1
417     351          2
418     411          2
419     456          0
420     163          1
421     162          2
422     161          3
423     160          0
424      36          1
425      37          2
426      38          3
427      75          0
428      70          1
429     110          1
430     236          0
431     310          0
432     312          0
433     345          0
434     412          0

      Exam    Periods
--  ------  ---------
 0       6          0

      Exam    Periods
--  ------  ---------
 0      16          0

      Exam    Periods
--  ------  ---------
 0      22          0

      Exam    Periods
--  ------  ---------
 0      50          0

      Exam    Periods
--  ------  ---------
 0      95          0

      Exam    Periods
--  ------  ---------
 0     122          0

      Exam    Periods
--  ------  ---------
 0     139          0
 1     138          1

      Exam    Periods
--  ------  ---------
 0     178          0

      Exam    Periods
--  ------  ---------
 0     204          0

      Exam    Periods
--  ------  ---------
 0     205          0

      Exam    Periods
--  ------  ---------
 0     216          0

      Exam    Periods
--  ------  ---------
 0     233          0
 1     235          1
 2     237          2
 3     232          2
 4     234          1

      Exam    Periods
--  ------  ---------
 0     285          0

      Exam    Periods
--  ------  ---------
 0     313          0
 1     314          1

      Exam    Periods
--  ------  ---------
 0     329          0

      Exam    Periods
--  ------  ---------
 0     330          0

      Exam    Periods
--  ------  ---------
 0     355          0

      Exam    Periods
--  ------  ---------
 0     369          0

      Exam    Periods
--  ------  ---------
 0     381          0

      Exam    Periods
--  ------  ---------
 0     443          0

Total Colors used:19

Dataset for Test:lse-f-91
Nodes:381	Edges4531
Connected Components:3

Subgraph 1
       Exam    Periods
---  ------  ---------
  0     289          0
  1       1          1
  2      28          2
  3     351          3
  4      30          4
  5      21          5
  6       8          6
  7     268          7
  8     133          8
  9     366          9
 10     336         10
 11      26         11
 12     224         12
 13      73         13
 14     350          6
 15     335         10
 16      54          7
 17      25         11
 18      23          5
 19      32          5
 20      41         12
 21      59          0
 22      31          9
 23     282         13
 24      36         14
 25       4          8
 26     229         15
 27     361         16
 28       2         17
 29      44         18
 30     320         11
 31     269          7
 32     341         10
 33      42          3
 34     348         13
 35     241          3
 36     362         14
 37     191          0
 38      33          6
 39      38         16
 40      40          0
 41      29          2
 42     323          5
 43       3          1
 44      37          0
 45      39         13
 46      35         10
 47      46          4
 48     267          9
 49     356          2
 50     283         11
 51     201          4
 52      34          3
 53      49         10
 54     339          9
 55      72          5
 56      60         10
 57      58          7
 58     146          2
 59     142         11
 60     202          9
 61     206          6
 62     198          4
 63      89          1
 64      66          8
 65     293          0
 66     354         11
 67     352          7
 68     257          8
 69     358          0
 70      27          2
 71      22         10
 72     337          2
 73      71         14
 74      55          6
 75     132          1
 76     271         11
 77     281         10
 78      80         13
 79      75          7
 80      85         12
 81     199         14
 82     200         15
 83      84         16
 84      87          2
 85     373          6
 86     204          0
 87     135          6
 88     134          1
 89     104          0
 90      68          5
 91     155          8
 92      86          1
 93     147          3
 94     119          1
 95     285         12
 96     270          8
 97     306          6
 98      96          4
 99     143          3
100      77         10
101      57          1
102      83          3
103      90         11
104     349          0
105     357          3
106      24          4
107     340          4
108     203          5
109     231          6
110      94          3
111      76          0
112      63          9
113     196          4
114     211          7
115     138         11
116      78          0
117      74          8
118     223          7
